CALLS,,PUTS
,OI,CHNG IN OI,VOLUME,IV,LTP,CHNG,BID QTY,BID,ASK,ASK QTY,STRIKE,BID QTY,BID,ASK,ASK QTY,CHNG,LTP,IV,VOLUME,CHNG IN OI,OI,
,79,34,38,64.31,"2,355.00",-1.85,780,"2,062.55","2,336.65",65,"22,000.00","1,33,705",0.75,0.80,"22,490",-0.50,0.75,27.65,"1,07,395","-12,665","62,338",
,-,-,-,-,-,-,780,"2,067.45","2,432.90",780,"22,050.00","11,700",0.80,0.85,"1,170",-0.40,0.85,27.41,"1,927",365,486,
,1,-,-,-,-,-,780,"2,104.35","2,281.40",780,"22,100.00","23,335",0.80,0.90,"30,420",-0.35,0.80,26.65,"21,843","3,592","20,437",
,-,-,-,-,-,-,780,"2,056.00","2,333.10",780,"22,150.00","1,300",0.95,1.05,"2,340",-0.35,0.95,26.53,"2,345",564,672,
,-,-,-,-,-,-,780,"2,062.95","2,242.95",780,"22,200.00","18,395",0.95,1.10,"1,430",-0.25,1.10,26.34,"17,028","3,061","9,049",
,-,-,-,-,-,-,780,"1,879.90","2,245.15","1,690","22,250.00","2,210",1.00,1.10,"1,300",-0.25,1.15,25.86,"2,518",137,409,
,-,-,-,-,-,-,780,"1,838.10","2,202.95","2,470","22,300.00",910,1.05,1.20,"1,560",-0.35,1.15,25.25,"11,086","1,677","4,385",
,-,-,-,-,-,-,780,"1,786.00","2,146.50",780,"22,350.00",130,1.05,1.25,"1,430",-0.50,1.10,24.53,"1,733",249,456,
,-,-,-,-,-,-,780,"1,848.15","2,042.95",780,"22,400.00","19,175",1.05,1.15,"1,820",-0.50,1.20,24.15,"17,756",767,"3,272",
,-,-,-,-,-,-,780,"1,798.45","2,033.20",780,"22,450.00","23,920",1.05,1.10,910,-0.70,1.05,23.20,"13,832",871,"1,529",
,182,-,1,56.29,"1,875.40",-,260,"1,809.55","1,826.45",65,"22,500.00","7,930",1.25,1.30,"3,055",-0.55,1.25,23.04,"1,18,330","11,559","65,835",
