CALLS,,PUTS
,OI,CHNG IN OI,VOLUME,IV,LTP,CHNG,BID QTY,BID,ASK,ASK QTY,STRIKE,BID QTY,BID,ASK,ASK QTY,CHNG,LTP,IV,VOLUME,CHNG IN OI,OI,
,-,-,-,-,-,-,780,765.05,"1,211.90","2,470","23,300.00",520,6.55,6.90,650,-1.75,6.55,11.91,"16,629",-47,"4,257",
,-,-,-,-,-,-,"1,690",735.45,"1,160.25",780,"23,350.00",455,7.05,7.60,585,-1.40,7.05,11.55,622,24,532,
,-,-,-,-,-,-,780,732.10,"1,110.15",780,"23,400.00","3,055",8.00,8.25,"1,105",-0.75,8.10,11.32,"11,279",320,"3,619",
,1,-,-,-,-,-,"1,690",662.15,"1,046.20","1,690","23,450.00",585,8.65,9.10,585,-0.70,9.00,11.01,"2,793",673,"1,284",
,293,25,78,17.02,850.90,-59.45,390,851.05,891.95,65,"23,500.00",130,10.00,10.35,65,-0.70,10.35,10.77,"29,880","3,670","16,115",
,-,-,-,-,-,-,65,794.70,957.25,780,"23,550.00",585,10.90,11.55,585,-0.85,11.40,10.43,"3,917",399,933,
,46,-,25,20.05,806.75,-17.35,130,744.50,763.25,65,"23,600.00",650,12.45,12.75,585,-0.55,12.65,10.09,"33,521","7,433","19,680",
,1,-,-,-,-,-,130,511.80,852.45,780,"23,650.00",260,14.35,15.05,585,-0.65,14.90,9.88,"4,927",586,"1,670",
,54,11,106,13.73,648.20,-72.15,130,658.75,669.90,130,"23,700.00",585,16.80,17.60,585,0.40,17.70,9.69,"20,518","3,125","10,161",
,15,-,8,15.65,632.25,-59.95,130,612.55,630.00,65,"23,750.00",585,19.65,20.15,65,-0.20,20.15,9.38,"6,235","1,264","2,228",
,277,54,326,13.76,568.25,-61.20,130,568.10,590.30,65,"23,800.00",585,23.10,23.85,65,-0.45,22.80,9.05,"37,747","6,189","11,917",
,8,-2,14,12.91,518.25,-6.75,65,520.55,532.45,130,"23,850.00",585,27.60,28.30,585,0.40,27.35,8.86,"11,439",704,"3,106",
,180,32,184,12.73,477.85,-53.35,130,478.00,488.15,65,"23,900.00",455,33.10,33.85,65,1.25,33.70,8.76,"47,581","14,626","19,038",
,106,14,70,12.25,434.00,-54.65,65,435.60,444.65,65,"23,950.00",65,39.40,39.85,65,2.40,39.85,8.53,"11,659",-287,"4,174",
,"3,678","1,364","5,036",12.09,396.00,-42.40,"1,170",394.00,402.60,65,"24,000.00",65,46.85,47.75,65,2.40,47.85,8.35,"50,706","6,679","15,145",
,189,56,496,11.66,355.00,-48.35,65,352.80,358.25,65,"24,050.00",520,56.35,57.25,65,3.10,56.05,8.09,"13,844",770,"2,299",
,"3,591",136,"3,434",11.55,320.40,-45.45,65,314.85,320.35,130,"24,100.00",455,67.65,68.35,65,3.30,67.60,7.94,"40,800","8,623","15,027",
,"1,477",11,"1,383",11.11,281.80,-41.20,65,278.20,283.70,130,"24,150.00",65,79.80,81.40,65,4.40,79.60,7.69,"14,883","1,702","5,329",
,"9,288","2,754","24,110",10.81,247.10,-41.95,260,246.20,248.00,520,"24,200.00",65,96.30,97.50,"4,810",6.35,96.55,7.61,"41,930","1,999","13,383",
,"2,602","1,099","8,128",10.59,215.65,-39.45,195,214.80,217.65,520,"24,250.00",195,114.25,115.80,65,8.85,114.05,7.41,"15,781","2,073","3,607",
,"13,914","6,706","48,076",10.36,185.85,-36.00,195,184.80,185.85,195,"24,300.00",65,135.35,136.60,195,15.10,138.00,7.41,"74,775","11,487","19,835",
,"3,711","2,649","12,954",10.17,159.00,-37.55,65,158.15,160.25,65,"24,350.00",260,156.10,160.50,195,20.85,160.60,7.17,"15,731","1,250","1,990",
,"12,428","6,687","41,045",9.93,133.55,-33.60,65,133.00,134.25,195,"24,400.00",65,181.50,184.60,65,19.65,184.10,6.80,"39,686","6,281","9,759",
,"9,513","8,097","18,771",9.75,111.30,-32.10,195,110.80,111.95,65,"24,450.00",195,208.60,211.05,65,20.25,208.65,6.27,"11,648","5,598","6,014",
,"24,853","15,006","61,915",9.64,92.55,-28.30,260,92.60,93.30,195,"24,500.00",65,240.45,243.50,65,25.55,244.00,6.18,"31,028","7,016","10,266",
,"1,801",549,"8,853",9.54,76.15,-26.15,65,76.40,77.40,455,"24,550.00",65,274.35,279.90,65,31.90,277.75,5.69,"1,586",110,260,
,"15,747","3,476","34,686",9.61,64.15,-19.40,65,63.20,63.80,455,"24,600.00",65,309.90,316.70,130,36.75,314.90,5.03,"5,884",999,"2,020",
,"3,248","1,778","13,748",9.55,52.25,-15.40,65,51.40,52.30,65,"24,650.00",130,346.25,355.45,65,38.55,353.65,-,462,110,166,
,"14,217","6,475","46,703",9.55,42.65,-12.40,65,42.05,42.80,585,"24,700.00",260,386.80,395.30,65,40.95,393.10,-,"3,133",414,659,
,"6,632","4,216","20,404",9.60,35.05,-10.80,65,34.40,35.10,910,"24,750.00",325,425.65,437.60,65,57.05,435.80,-,106,55,78,
,"22,000","4,063","47,889",9.54,27.60,-9.55,585,27.55,28.30,585,"24,800.00",130,472.65,480.05,65,46.60,478.60,-,678,99,264,
,"7,010","1,136","17,935",9.55,22.10,-6.05,65,22.05,22.55,65,"24,850.00",130,515.35,525.00,65,-28.60,507.00,-,50,25,26,
,"7,863","7,863","29,063",9.69,18.45,-426.10,65,17.65,18.35,130,"24,900.00",65,561.35,572.35,65,7.50,546.00,-,309,207,248,
,"2,396","2,396","8,545",9.71,14.65,-408.10,195,14.15,14.80,585,"24,950.00",65,583.25,798.65,65,-,-,18.52,-,-,1,
,"26,267","5,861","66,768",9.82,12.00,-1.60,585,11.65,12.00,585,"25,000.00",130,656.30,664.25,390,56.15,659.90,-,655,-1,572,
,"1,327","1,327","2,201",9.95,9.95,-371.45,195,9.45,9.95,"2,275","25,050.00",780,559.95,961.95,780,-,-,-,-,-,-,
,"22,254","4,583","39,509",10.00,7.90,-,455,7.75,8.00,260,"25,100.00",65,748.05,861.00,130,-,-,21.63,-,-,1,
,909,909,"3,653",10.30,7.15,-335.85,"1,170",6.60,7.10,130,"25,150.00","1,690",653.25,998.80,780,-,-,-,-,-,-,
,"1,989","1,989","8,922",10.45,6.00,-318.90,65,6.00,6.35,390,"25,200.00",65,849.50,865.40,65,4.15,798.40,-,15,1,8,
,-,-,-,-,-,-,585,4.60,25.70,"3,900","25,250.00",780,735.30,"1,107.00",780,-,-,-,-,-,-,
,"7,084","2,144","18,252",11.03,5.00,0.80,"8,580",4.80,5.00,520,"25,300.00",65,856.70,959.80,130,-,-,25.12,-,-,9,
,-,-,-,-,-,-,"1,560",3.10,15.35,"4,095","25,350.00",65,854.15,"1,253.65",780,-64.90,965.00,-,1,-,1,
,"2,472","2,039","7,937",11.42,3.80,0.35,195,3.80,4.10,650,"25,400.00",780,875.95,"1,336.90",780,-,-,-,-,-,-,
,-,-,-,-,-,-,"1,560",2.60,7.05,"3,250","25,450.00",780,923.40,"1,299.30",780,-,-,-,-,-,-,
,"4,670","1,492","8,210",11.86,3.00,0.15,65,3.00,3.25,650,"25,500.00",65,"1,064.15","1,154.25",65,-110.95,"1,124.05",-,18,13,17,
,256,148,478,12.30,3.05,0.15,910,2.35,3.55,"1,300","25,550.00",780,"1,015.60","1,469.70",780,-,-,-,-,-,-,
,"8,248",547,"12,256",12.62,2.90,-0.20,650,2.60,3.00,390,"25,600.00",780,"1,064.20","1,455.60",780,-,-,-,-,-,-,
,161,11,332,12.76,2.50,0.15,390,2.25,2.50,390,"25,650.00","1,690","1,107.35","1,609.55",780,-,-,-,-,-,-,
,813,121,"2,818",13.01,2.30,-0.35,585,2.30,3.00,"3,055","25,700.00",780,"1,157.00","1,663.25",780,-,-,-,-,-,-,
,172,40,750,13.48,2.40,0.35,910,1.75,2.45,65,"25,750.00",780,"1,204.10","1,679.40",780,-,-,-,-,-,-,
,"1,166",577,"3,135",13.67,2.15,0.05,650,1.80,2.10,130,"25,800.00",780,"1,251.30","1,731.65",780,-,-,-,-,-,-,
,86,60,386,13.93,2.00,-1.30,910,1.85,2.35,260,"25,850.00",780,"1,298.00","1,736.70",780,-,-,-,-,-,-,
,438,251,934,14.26,1.95,-0.05,"2,600",1.60,1.95,650,"25,900.00",780,"1,324.00","1,880.05",780,-,-,-,-,-,-,
,73,48,273,14.77,2.10,-0.05,910,1.55,2.10,130,"25,950.00",780,"1,370.80","1,887.05",780,-,-,-,-,-,-,
,"5,696","2,810","9,664",14.49,1.45,-0.50,"13,520",1.45,1.55,"1,495","26,000.00",65,"1,519.70","1,658.05",65,38.80,"1,615.00",-,1,-,1,
,515,38,385,15.02,1.60,-0.45,910,1.50,1.90,910,"26,050.00",780,"1,462.25","1,954.10",780,-,-,-,-,-,-,
,146,59,326,14.95,1.25,-0.65,"1,040",1.25,1.50,"2,405","26,100.00",780,"1,508.15","1,929.75",780,-,-,-,-,-,-,
,9,-3,14,15.56,1.45,-0.15,"6,500",1.10,1.80,650,"26,150.00",780,"1,554.40","2,058.05",780,-,-,-,-,-,-,
,81,14,188,15.92,1.45,-0.10,"1,300",1.05,1.45,"1,170","26,200.00",780,"1,600.55","2,011.45",780,-,-,-,-,-,-,
,26,4,41,16.27,1.45,-0.95,"1,755",0.95,1.45,975,"26,250.00",780,"1,646.65","2,166.80",780,-,-,-,-,-,-,
,432,7,216,16.43,1.30,-0.20,130,1.15,1.30,195,"26,300.00","2,470","1,692.20","2,318.05",780,-,-,-,-,-,-,
,99,29,127,17.04,1.50,0.30,780,1.15,1.50,130,"26,350.00",780,"1,738.40","2,275.00",780,-,-,-,-,-,-,
,452,22,806,16.81,1.10,-0.25,"5,070",1.05,1.15,260,"26,400.00",780,"1,784.55","2,359.55",780,-,-,-,-,-,-,
