CALLS,,PUTS
,OI,CHNG IN OI,VOLUME,IV,LTP,CHNG,BID QTY,BID,ASK,ASK QTY,STRIKE,BID QTY,BID,ASK,ASK QTY,CHNG,LTP,IV,VOLUME,CHNG IN OI,OI,
,-,-,-,-,-,-,780,"1,785.45","2,193.90",780,"22,350.00","2,080",3.05,3.65,"1,365",-0.70,3.50,19.54,"5,041","3,091","4,326",
,-,-,-,-,-,-,780,"1,747.85","2,142.15",780,"22,400.00","1,560",3.25,3.55,"1,365",-0.60,3.55,19.12,"15,378","8,214","11,501",
,-,-,-,-,-,-,780,"1,700.05","2,090.45",780,"22,450.00",65,2.95,4.05,"1,300",0.65,4.50,19.27,125,17,64,
,-,-,-,-,-,-,780,"1,652.95","2,037.90",780,"22,500.00",975,3.60,3.80,"1,885",-0.75,3.65,18.27,"10,622","2,615","8,790",
,-,-,-,-,-,-,780,"1,607.50","1,986.55",780,"22,550.00","2,210",2.80,3.95,65,-0.05,3.95,18.00,101,15,46,
,-,-,-,-,-,-,780,"1,553.50","1,934.70",780,"22,600.00",65,3.20,4.35,65,0.15,4.50,17.86,"2,105",664,"1,106",
,-,-,-,-,-,-,780,"1,359.70","1,882.40",780,"22,650.00","1,755",3.10,4.10,130,-0.65,4.10,17.16,38,15,64,
,-,-,-,-,-,-,"1,690","1,314.00","1,830.45",780,"22,700.00",65,3.25,4.20,65,-0.75,4.10,16.69,"2,558",824,"1,279",
,-,-,-,-,-,-,"1,690","1,248.65","1,779.00",780,"22,750.00","1,300",3.30,4.10,65,-2.45,3.30,15.74,212,80,103,
,-,-,-,-,-,-,"1,690","1,225.85","1,728.30",780,"22,800.00","1,495",3.75,4.45,"1,495",-0.30,4.45,15.95,"3,259",825,"1,452",
,-,-,-,-,-,-,780,"1,180.80","1,675.75",780,"22,850.00","1,560",3.50,5.20,"1,300",-0.90,4.10,15.29,223,-,100,
,-,-,-,-,-,-,780,"1,134.20","1,624.50",780,"22,900.00",845,4.05,4.90,260,-0.90,4.80,15.17,"4,641",514,"1,488",
,-,-,-,-,-,-,"1,690","1,071.00","1,573.45",780,"22,950.00","1,755",3.55,5.00,65,-2.55,4.40,14.50,145,18,100,
,2,-,-,-,-,-,65,"1,340.25","1,498.30",845,"23,000.00",65,4.45,4.70,"2,210",-1.35,4.70,14.16,"10,455","1,488","6,756",
,-,-,-,-,-,-,780,"1,001.60","1,469.95",780,"23,050.00","1,040",4.15,5.60,"1,300",-3.50,4.85,13.75,618,33,575,
,-,-,-,-,-,-,780,940.20,"1,417.75",780,"23,100.00",195,4.70,5.40,65,-0.95,5.40,13.50,"6,319","1,395","2,484",
,-,-,-,-,-,-,780,895.70,"1,365.75",780,"23,150.00",65,4.70,6.20,"1,300",-0.95,5.25,12.95,612,81,393,
,18,-,1,26.59,"1,205.50",52.45,65,"1,136.05","1,156.10",195,"23,200.00",455,5.45,6.15,"1,950",-1.70,5.45,12.53,"8,066","1,169","3,799",
,-,-,-,-,-,-,780,822.50,"1,262.95",780,"23,250.00",650,5.05,6.95,"1,300",-62.20,6.20,12.30,628,361,361,
